Problem,Syntax
SELECT and FROM,
1. Retrieve all columns from the employees table.,SELECT * FROM employees;
2. Retrieve only the name and age columns from the customers table.,"SELECT name, age FROM customers;"
3. Get distinct city values from the customers table.,SELECT DISTINCT city FROM customers;
4. Retrieve the first 5 rows from the products table.,SELECT TOP 5 * FROM products;
WHERE Clause,
"5. Find all employees whose salary is greater than 50,000.",SELECT * FROM employees WHERE salary > 50000;
"6. Get customers from the customers table who live in ""New York"".",SELECT * FROM customers WHERE city = 'New York';
"7. Find all orders placed after January 1, 2023.",SELECT * FROM orders WHERE order_date > '2023-01-01';
"8. Retrieve employees who have the job title ""Manager"".",SELECT * FROM employees WHERE job_title = 'Manager';
9. Find products where the price is between 100 and 500.,
"10. Get all customers whose names start with ""A"".",SELECT * FROM products WHERE price BETWEEN 100 AND 500;
ORDER BY Clause,
11. Retrieve employees ordered by salary in descending order.,SELECT * FROM employees ORDER BY salary DESC;
12. Retrieve customers sorted by their last name alphabetically.,SELECT * FROM customers ORDER BY last_name ASC;
13. Retrieve products sorted by price in ascending order.,SELECT * FROM products ORDER BY price ASC;
LIMIT and OFFSET,
14. Retrieve the top 3 highest-paid employees.,SELECT * FROM employees ORDER BY salary DESC LIMIT 3;
15. Get the second-highest paid employee (use LIMIT and OFFSET).,SELECT * FROM employees ORDER BY salary DESC LIMIT 1 OFFSET 1;
Aggregate Functions,
16. Count the total number of employees.,SELECT COUNT(*) AS total_employees FROM employees;
17. Find the average price of products.,SELECT AVG(price) AS average_price FROM products;
18. Get the highest salary from the employees table.,SELECT MAX(salary) AS highest_salary FROM employees;
19. Find the lowest product price in the products table.,SELECT MIN(price) AS lowest_price FROM products;
20. Calculate the total revenue from the orders table.,SELECT SUM(total_amount) AS total_revenue FROM orders;
GROUP BY and HAVING,
21. Get the number of employees in each department.,"SELECT department_id, COUNT(*) AS num_employees 
FROM employees 
GROUP BY department_id;"
22. Find the total sales for each customer.,"SELECT customer_id, SUM(total_amount) AS total_sales 
FROM orders 
GROUP BY customer_id;"
23. Find the average salary for each job title.,"SELECT job_title, AVG(salary) AS average_salary 
FROM employees 
GROUP BY job_title;
"
24. Find the department with the highest number of employees.,"SELECT department_id 
FROM employees 
GROUP BY department_id 
ORDER BY COUNT(*) DESC 
LIMIT 1;
"
25. Retrieve customers who have placed more than 5 orders.,"SELECT customer_id, COUNT(*) AS num_orders 
FROM orders 
GROUP BY customer_id 
HAVING COUNT(*) > 5;
"
JOINS,
26. Retrieve employees and their corresponding department names.,"SELECT e.employee_id, e.name AS employee_name, d.department_name
FROM employees e
JOIN departments d ON e.department_id = d.department_id;
"
27. Get a list of all orders with customer names.,"SELECT o.order_id, c.name AS customer_name, o.order_date
FROM orders o
JOIN customers c ON o.customer_id = c.customer_id;
"
28. Retrieve product names and their corresponding order details.,"SELECT p.product_name, od.order_id, od.quantity
FROM products p
JOIN order_details od ON p.product_id = od.product_id;
"
29. List all employees along with their managers' names.,"SELECT e.employee_id, e.name AS employee_name, m.name AS manager_name
FROM employees e
LEFT JOIN employees m ON e.manager_id = m.employee_id;
"
30. Find employees who do not belong to any department.,"SELECT * FROM employees 
WHERE department_id IS NULL;
"
"INNER JOIN, LEFT JOIN, RIGHT JOIN",
31. Get all customers who have placed an order (INNER JOIN).,"SELECT c.customer_id, c.name 
FROM customers c
INNER JOIN orders o ON c.customer_id = o.customer_id;
"
32. List all employees and their assigned projects (LEFT JOIN).,"SELECT e.employee_id, e.name AS employee_name, p.project_name
FROM employees e
LEFT JOIN projects p ON e.employee_id = p.employee_id;
"
"33. Retrieve all customers and their orders, even if they haven't placed one (RIGHT JOIN).","SELECT c.customer_id, c.name AS customer_name, o.order_id
FROM customers c
RIGHT JOIN orders o ON c.customer_id = o.customer_id;
"
34. Find employees without a manager (LEFT JOIN with NULL).,"SELECT e.employee_id, e.name AS employee_name
FROM employees e
LEFT JOIN employees m ON e.manager_id = m.employee_id
WHERE m.employee_id IS NULL;
"
35. Find orders without a corresponding product entry (RIGHT JOIN with NULL).,"SELECT o.order_id
FROM orders o
RIGHT JOIN order_details od ON o.order_id = od.order_id
WHERE od.product_id IS NULL;
"
Subqueries,
36. Get employees whose salary is above the average salary.,"SELECT employee_id, name, salary
FROM employees
WHERE salary > (SELECT AVG(salary) FROM employees);
"
37. Retrieve products that have never been ordered.,"SELECT p.product_id, p.product_name
FROM products p
WHERE p.product_id NOT IN (SELECT DISTINCT product_id FROM order_details);
"
38. Find customers who placed orders in the last 30 days.,"SELECT c.customer_id, c.name
FROM customers c
WHERE c.customer_id IN (SELECT o.customer_id FROM orders o WHERE o.order_date > CURDATE() - INTERVAL 30 DAY);
"
39. Find employees who earn more than their department's average salary.,"SELECT e.employee_id, e.name, e.salary
FROM employees e
WHERE e.salary > (
    SELECT AVG(salary)
    FROM employees
    WHERE department_id = e.department_id
);
"
40. Retrieve customers who ordered the most expensive product.,"SELECT c.customer_id, c.name
FROM customers c
WHERE c.customer_id IN (
    SELECT o.customer_id
    FROM orders o
    JOIN order_details od ON o.order_id = od.order_id
    JOIN products p ON od.product_id = p.product_id
    WHERE p.price = (SELECT MAX(price) FROM products)
);
"
Self JOIN,
41. Find pairs of employees who work in the same department.,"SELECT e1.employee_id AS employee_1_id, e1.name AS employee_1_name, e2.employee_id AS employee_2_id, e2.name AS employee_2_name
FROM employees e1
JOIN employees e2 ON e1.department_id = e2.department_id AND e1.employee_id < e2.employee_id;
"
42. Retrieve employees and their direct managers from the same table.,"SELECT e.employee_id, e.name AS employee_name, m.name AS manager_name
FROM employees e
LEFT JOIN employees m ON e.manager_id = m.employee_id;
"
43. Find customers who referred other customers.,"SELECT c1.customer_id, c1.name AS referring_customer
FROM customers c1
WHERE c1.customer_id IN (SELECT c2.referral_id FROM customers c2 WHERE c2.referral_id IS NOT NULL);
"
44. Find products that belong to the same category.,"SELECT p1.product_id, p1.product_name
FROM products p1
JOIN products p2 ON p1.category_id = p2.category_id
WHERE p1.product_id != p2.product_id;"
45. Get employees who have the same salary as someone else.,"SELECT e1.employee_id, e1.name, e1.salary
FROM employees e1
JOIN employees e2 ON e1.salary = e2.salary AND e1.employee_id != e2.employee_id;"
CASE and Conditional Statements,
"46. Classify employees into salary ranges (""Low"", ""Medium"", ""High"").","SELECT employee_id, name,
       CASE
           WHEN salary < 30000 THEN 'Low'
           WHEN salary BETWEEN 30000 AND 70000 THEN 'Medium'
           WHEN salary > 70000 THEN 'High'
       END AS salary_range
FROM employees;"
